name	domain	url	status
Accelerant Research	accelerantresearch.com	https://www.accelerantresearch.com	overlap-classified
Adler Weiner Research	adlerweiner.com	https://www.adlerweiner.com	overlap-classified
Respondent	respondent.io	https://www.respondent.io	overlap-classified
Become a Thinker	becomeathinker.com	https://www.becomeathinker.com/join-our-database/	overlap-classified
DScout	dscout.com	https://dscout.com/	overlap-classified
Fieldwork	fieldwork.com	http://www.fieldwork.com/	overlap-classified
Nelson Recruiting	nelsonrecruiting.com	https://www.nelsonrecruiting.com	overlap-classified
Opinions Link	opinionslink.com	https://www.opinionslink.com	overlap-classified
Plaza Research	prcmarketresearch.com	https://www.prcmarketresearch.com/join-our-paid-panel	overlap-classified
Reckner	reckner.com	https://www.reckner.com	overlap-classified
User Interviews	userinterviews.com	https://www.userinterviews.com/browse	overlap-classified
Bezel Research	facebook.com	https://www.facebook.com/bezelrr/	overlap-in-flight
Big Bang recruiting	bigbangrecruiting.com	https://www.bigbangrecruiting.com	overlap-in-flight
Collab Research	collab-research.com	https://www.collab-research.com	overlap-in-flight
Curion Research	curionpanelist.com	https://curionpanelist.com/	overlap-in-flight
Cypher Research	cypherresearch.com	https://www.cypherresearch.com	overlap-in-flight
Elliott Benson	elliottbenson.com	https://www.elliottbenson.com/participate/	overlap-in-flight
End to End Research	endtoenduserresearch.com	http://www.endtoenduserresearch.com/	overlap-in-flight
Ethical Mind	ethicalmind.org	https://www.ethicalmind.org	overlap-in-flight
FF Focus Group	fffocusgroup.com	https://www.fffocusgroup.com	overlap-in-flight
focus 99	focus99.com	https://www.focus99.com/	overlap-in-flight
Focuscope	focuscope.com	https://www.focuscope.com	overlap-in-flight
Focus Group Connection	focusgroupconnection.com	https://www.focusgroupconnection.com	overlap-in-flight
Focus Insite	focusinsite.com	https://www.focusinsite.com	overlap-in-flight
Funds for Focus	fundsforfocus.com	https://www.fundsforfocus.com	overlap-in-flight
Hagen Sinclair Research Recruiting	hagensinclair.com	https://hagensinclair.com/	overlap-in-flight
JC Research Partners	jcresearchpartners.com	https://jcresearchpartners.com	overlap-in-flight
L&E Research	leresearch.com	https://www.leresearch.com	overlap-in-flight
Opinions for Cash	opinionsforcash.com	https://opinionsforcash.com/	overlap-in-flight
Orman Guidance	ormanguidance.com	https://www.ormanguidance.com	overlap-in-flight
Probe Market Research	probemarket.com	http://www.probemarket.com/sign-up-now/	overlap-in-flight
Q-Insights	q-insights.com	https://q-insights.com/	overlap-in-flight
Recruit and Field	recruitandfield.com	https://www.recruitandfield.com/register-as-a-participant	overlap-in-flight
Round2Research	round2research.com	https://www.round2research.com	overlap-in-flight
Watchlab	watchlab.com	http://signup.watchlab.com/	overlap-in-flight
SIS Research	sisinternational.com	https://www.sisinternational.com	overlap-in-flight
Watch Me Think	watchmethink.com	https://watchmethink.com/	overlap-in-flight
Wilkins Research Services	wilkinsresearch.com	https://www.wilkinsresearch.com	overlap-in-flight
Wilkins Research Services	wilkinsresearch.net	http://wilkinsresearch.net	overlap-in-flight
Winn Winn Research	winnwinn.com	https://winnwinn.com	overlap-in-flight
Act One Research	actone-research.com	https://www.actone-research.com	new
Amplify Research	amplifyresearch.com	https://www.amplifyresearch.com	new
Apex Focus Group	apexfocusgroup.com	https://www.ApexFocusGroup.com	new
ATH Power Consulting Corporation	athpower.com	https://www.athpower.com/	new
Atkins Research	atkinsresearch.com	https://www.atkinsresearch.com	new
Best Mark International	bestmark.com	https://www.bestmark.com/	new
Brightside Research Solutions	teambrightsider.com	https://teambrightsider.com/	new
CIC Testing	cictesting.com	https://www.cictesting.com/CIC/	new
Compass Research	compassmarketingresearch.com	https://compassmarketingresearch.com/sign-up/	new
Confide Research	confideresearch.com	https://www.confideresearch.com	new
Contract Testing	contracttesting.com	http://contracttesting.com/	new
Decision Point Research	decisionpointresearch.ca	https://www.DecisionPointResearch.ca	new
Engage In Depth	engageindepth.com	https://www.engageindepth.com	new
L&E Opinions	facilitymanagerplus.com	https://participant.facilitymanagerplus.com/ParticipantSignup.aspx	new
Fleischmann Research	ffrsf.com	http://www.ffrsf.com/	new
Field Agent/Storesight	fieldagent.net	https://www.fieldagent.net/	new
Field Goals (Heard backend)	fieldgoals.us	https://www.fieldgoals.us	new
Field Voices	fieldvoices.com	https://www.fieldvoices.com	new
Focus Forward	focusfwd.com	https://www.focusfwd.com	new
Focus Pointe Global	focusgroup.com	http://www.focusgroup.com/	new
Focus Group Panel	focusgrouppanel.com	https://www.focusgrouppanel.com	new
Focus Room	focusroom.com	https://www.focusroom.com	new
Ann Michaels	ishopforyou.com	https://ishopforyou.com/	new
Jackson Associates	jacksonassociates.com	http://www.jacksonassociates.com/join.asp	new
20/20 Panel	join.2020panel.com	https://join.2020panel.com/	new
KSS International	kernscheduling.com	http://kernscheduling.com/	new
Eede Research	leedemn.com	https://leedemn.com/	new
L&E Opinions	leopinions.com	https://www.leopinions.com	new
Limelight by Shugoll	limelightbyshugoll.com	https://www.limelightbyshugoll.com	new
Local Focus Group	localfocusgroup.com	https://www.localfocusgroup.com	new
Macconnell Research	macconnellresearch.com	http://www.macconnellresearch.com/	new
Market force	marketforce.com	https://www.marketforce.com/	new
MeThinks	methinks.io	https://www.methinks.io/	new
MForce Research	mforceresearch.com	https://www.mforceresearch.com	new
Moore Research Services	moore-research.com	https://www.moore-research.com/	new
Moore Opinions	mooreopinions.com	https://www.mooreopinions.com	new
Murray Hill Center	murrayhillnational.com	https://www.murrayhillnational.com	new
MVG Recruiting	mvgrecruiting.com	https://www.mvgrecruiting.com	new
NDR (National Data Research)	national-data.net	http://www.national-data.net/	new
New England Focus Group	newenglandfocusgroup.com	https://www.newenglandfocusgroup.com	new
Online Verdict	onlineverdict.com	https://www.onlineverdict.com	new
Opinion Wizard (Advanced Focus)	opinionwizard.com	https://www.opinionwizard.com/	new
Focus Forward	focusfwdonline.com	https://panel.focusfwdonline.com/FFFocusGroup/Register.aspx	new
Pragmatic Research	pragmatic-research.com	http://www.pragmatic-research.com/	new
Prepare to Persuade	preparetopersuade.com	https://www.preparetopersuade.com	new
Private Jury	privatejury.com	https://privatejury.com/	new
Product Tube	producttube.com	https://producttube.com/	new
PVR Research	pvr-research.com	http://www.pvr-research.com/	new
Rare Patient Voice	rarepatientvoice.com	https://www.rarepatientvoice.com	new
Schlesinger Associates (SAGO)	sago.com	https://sago.com/en/get-in-touch/join-our-panel/	new
Secret Shopper	secretshopper.com	https://www.secretshopper.com/	new
Talking Heads	talkingheadsstudio.com	http://www.talkingheadsstudio.com/	new
Trendsource	trendsource.com	https://www.trendsource.com/	new
User Insight	userinsight.com	http://www.userinsight.com/	new
Videochat Network	videochatnetwork.net	https://www.videochatnetwork.net/	new
